brand,model,url,category,source,sourceType,sourceId
"Axess tv1701 13.3"" High-Definition LED TV (93591125M)",93591125M,https://www.staples.com/axess-tv1701-13-3-high-definition-led-tv-93591125m/product_1832940,Televisions,Staples,retailer,6
"Supersonic® 7"" Portable Rechargeable Digital LCD TV",93580760M,https://www.staples.com/Supersonic-7-Portable-Rechargeable-Digital-LCD-TV/product_283953,Televisions,Staples,retailer,6
"Axess® 15.4"" LED AC/DC TV With DVD Player",93581148M,https://www.staples.com/Axess-15-4-LED-AC-DC-TV-With-DVD-Player/product_282999,Televisions,Staples,retailer,6
Samsung J520D Full LED Smart TV 40 IN. 1080p Television,UN40J520DAFXZA,https://www.staples.com/samsung-j520d-full-led-smart-tv-40-in-1080p-television/product_24288249,Televisions,Staples,retailer,6
"VIZIO SmartCast D D50f-F1 49.5"" 1080p LED-LCD TV, 16:9, HDTV, Black (D50F-F1)",D50F-F1,https://www.staples.com/vizio-smartcast-d-d50f-f1-49-5-1080p-led-lcd-tv-16-9-hdtv-black-d50f-f1/product_IM12KB749,Televisions,Staples,retailer,6
"LG 28LJ4540 28"" Class 720P HD LED TV",28LJ4540,https://www.staples.com/lg-28lj4540-28-class-720p-hd-led-tv/product_24328491,Televisions,Staples,retailer,6
"Samsung 5300 UN49M5300AF 48.5"" 1080p LED-LCD TV, 16:9, HDTV, Black (UN49M5300AFXZA)",UN49M5300AFXZA,https://www.staples.com/Samsung-5300-UN49M5300AF-48-5-1080p-LED-LCD-TV-16-9-HDTV-Black-UN49M5300AFXZA/product_IM19A2180,Televisions,Staples,retailer,6
"Samsung 7500 UN49MU7500F 49"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Titan Silver (UN49MU7500FXZA)",UN49MU7500FXZA,https://www.staples.com/Samsung-7500-UN49MU7500F-49-2160p-LED-LCD-TV-16-9-4K-UHDTV-Titan-Silver-UN49MU7500FXZA/product_IM18Q8810,Televisions,Staples,retailer,6
"Axess® 19"" AC/DC LED Full HDTV With HDMI and USB",93581157M,https://www.staples.com/Axess-19-AC-DC-LED-Full-HDTV-With-HDMI-and-USB/product_283002,Televisions,Staples,retailer,6
"Samsung 5300 UN40M5300AF 39.5"" 1080p LED-LCD TV, 16:9, HDTV, Black",UN40M5300AFXZA,https://www.staples.com/samsung-5300-un40m5300af-39-5-1080p-led-lcd-tv-16-9-hdtv-black/product_2801243,Televisions,Staples,retailer,6
"Samsung 7500 UN65MU7500F 65"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Titan Silver (UN65MU7500FXZA)",UN65MU7500FXZA,https://www.staples.com/Samsung-7500-UN65MU7500F-65-2160p-LED-LCD-TV-16-9-4K-UHDTV-Titan-Silver-UN65MU7500FXZA/product_IM18Q8808,Televisions,Staples,retailer,6
"VIZIO SmartCast E-Series E70-E3 70"" 2160p HDR LED-LCD Display, Black",E70-E3,https://www.staples.com/vizio-smartcast-e-series-e70-e3-70-2160p-hdr-led-lcd-display-black/product_24207774,Televisions,Staples,retailer,6
"Supersonic  sc499 9"" Portable Digital LCD TV",93586003M,https://www.staples.com/Supersonic-sc499-9-Portable-Digital-LCD-TV/product_1832948,Televisions,Staples,retailer,6
"VIZIO D-Series 32"" 720p Full-Array LED LCD TV",D32HN-D0,https://www.staples.com/VIZIO-D-Series-32-720p-Full-Array-LED-LCD-TV/product_IM11Y1394,Televisions,Staples,retailer,6
"Samsung 4500 UN32M4500AF 31.5"" 720p LED-LCD TV, 16:9, HDTV, Black",UN32M4500AFXZA,https://www.staples.com/samsung-4500-un32m4500af-31-5-720p-led-lcd-tv-16-9-hdtv-black/product_2801157,Televisions,Staples,retailer,6
"Samsung 6500 UN49MU6500F 49"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Dark Titan (UN49MU6500FXZA)",UN49MU6500FXZA,https://www.staples.com/Samsung-6500-UN49MU6500F-49-2160p-LED-LCD-TV-16-9-4K-UHDTV-Dark-Titan-UN49MU6500FXZA/product_IM18Q8817,Televisions,Staples,retailer,6
"Samsung 6300 UN65MU6300F 65"" 2160p LED-LCD TV, 16:9, 4K UHDTV, Dark Titan",UN65MU6300FXZA,https://www.staples.com/samsung-6300-un65mu6300f-65-2160p-led-lcd-tv-16-9-4k-uhdtv-dark-titan/product_2801241,Televisions,Staples,retailer,6
"Samsung 477 Series HG40NE477SFXZA 40"" 1080p Hospitality LED-LCD TV, Black",HG40NE477SFXZA,https://www.staples.com/Samsung-477-Series-HG40NE477SFXZA-40-1080p-Hospitality-LED-LCD-TV-Black/product_IM14Q2439,Televisions,Staples,retailer,6
"VIZIO D-Series D39HN-E0 39"" 720p Class Full Array LED-LCD TV, Black",D39HN-D0,https://www.staples.com/VIZIO-D-Series-D39HN-E0-39-720p-Class-Full-Array-LED-LCD-TV-Black/product_IM11Y1657,Televisions,Staples,retailer,6
"Samsung 4000 UN32J4000CF 31.5"" 720p LED-LCD TV, 16:9, HDTV, Black",UN32J4000CFXZA,https://www.staples.com/samsung-4000-un32j4000cf-31-5-720p-led-lcd-tv-16-9-hdtv-black/product_2801158,Televisions,Staples,retailer,6
"VIZIO SmartCast D D50f-F1 49.5"" 1080p LED-LCD TV, 16:9, HDTV, Black (D50F-F1)",D50F-F1,https://www.staples.com/vizio-smartcast-d-d50f-f1-49-5-1080p-led-lcd-tv-16-9-hdtv-black-d50f-f1/product_IM12KB749,Televisions,Staples,retailer,6
"Samsung 4500 UN32M4500AF 31.5"" 720p LED-LCD TV, 16:9, HDTV, Black",UN32M4500AFXZA,https://www.staples.com/samsung-4500-un32m4500af-31-5-720p-led-lcd-tv-16-9-hdtv-black/product_2801157,Televisions,Staples,retailer,6
"Supersonic  sc499 9"" Portable Digital LCD TV",93586003M,https://www.staples.com/Supersonic-sc499-9-Portable-Digital-LCD-TV/product_1832948,Televisions,Staples,retailer,6
Westinghouse WD32HB1120-RB Refurbished 32 IN. 720P LED Television,WD32HB1120-RB,https://www.staples.com/westinghouse-wd32hb1120-rb-refurbished-32-in-720p-led-television/product_24288235,Televisions,Staples,retailer,6
"Samsung 477 Series HG40NE477SFXZA 40"" 1080p Hospitality LED-LCD TV, Black",HG40NE477SFXZA,https://www.staples.com/Samsung-477-Series-HG40NE477SFXZA-40-1080p-Hospitality-LED-LCD-TV-Black/product_IM14Q2439,Televisions,Staples,retailer,6
"Axess tv1701 13.3"" High-Definition LED TV (93591125M)",93591125M,https://www.staples.com/axess-tv1701-13-3-high-definition-led-tv-93591125m/product_1832940,Televisions,Staples,retailer,6
"Supersonic® 7"" Portable Rechargeable Digital LCD TV",93580760M,https://www.staples.com/Supersonic-7-Portable-Rechargeable-Digital-LCD-TV/product_283953,Televisions,Staples,retailer,6
"Axess® 15.4"" LED AC/DC TV With DVD Player",93581148M,https://www.staples.com/Axess-15-4-LED-AC-DC-TV-With-DVD-Player/product_282999,Televisions,Staples,retailer,6
